name,country,launch_date,launch_mass,expected_lifetime,apogee_height,perigee_height
ELISA-W11,France,2011-12-17,120.0,,692.0,677.0
ELISA-W23,France,2011-12-17,120.0,,692.0,677.0
ELO-3,France,2023-04-15,10.0,,507.0,496.0
ELSA-d,Singapore,2021-03-22,175.0,,557.0,534.0
EMISat,India,2019-04-01,436.0,,759.0,735.0
EnMAP,Germany,2022-04-01,980.0,,651.0,638.0
EOS Sat-1,USA,2023-01-03,178.0,,537.0,520.0
EOS-1,India,2020-11-07,630.0,,577.0,567.0
EOS-1,India,2022-02-14,1710.0,10.0,535.0,521.0
EOS-7,India,2023-02-10,156.0,,460.0,443.0
Terra,USA/Canada/Japan,1999-12-18,4854.0,6.0,703.0,702.0
Aura,USA,2004-07-15,2967.0,5.0,703.0,702.0
Aqua,USA/Japan/Brazil,2002-05-04,2934.0,6.0,704.0,701.0
Cosmos 2548,Russia,2020-12-03,3.0,,1506.0,1483.0
ERG,Japan,2016-12-20,350.0,1.0,33200.0,460.0
EROS B-1,Israel,2006-04-25,350.0,10.0,514.0,508.0
Es'hail-1,Multinational,2013-08-29,,15.0,35767.0,35725.0
Es'hail-2,France,2018-11-15,5300.0,15.0,35798.0,35788.0
ESAIL,ESA,2020-09-02,112.0,,531.0,520.0
ESEO,ESA,2018-12-03,45.0,,588.0,572.0
286,USA,2018-04-22,,,35306.0,35244.0
ET-SMART-RSS,Ethiopia,2020-12-22,9.0,,513.0,503.0
ETRSS-1,Ethiopia,2019-12-20,70.0,,634.0,615.0
Eu:CROPIS,Germany,2018-12-03,230.0,,591.0,572.0
Eutelsat 10A,Multinational,2009-04-03,5900.0,15.0,35822.0,35781.0
Eutelsat 113 West A,Multinational,2006-05-27,5456.0,15.0,35796.0,35776.0
Eutensat 115 West B,Multinational,2015-03-02,,15.0,35789.0,35789.0
Eutelsat 117 West A,Multinational,2013-03-26,5474.0,15.0,35795.0,35779.0
Eutelsat 117 West B,Multinational,2016-06-15,5500.0,15.0,35795.0,35779.0
Eutelsat 133 West A,Multinational,2001-03-08,2950.0,12.0,35794.0,35788.0
Eutelsat 7A,Multinational,2004-03-15,4300.0,15.0,35802.0,35769.0
Eutelsat 16A,Multinational,2011-10-07,5400.0,,35795.0,35779.0
Eutelsat 172B,Multinational,2017-06-01,3600.0,15.0,35816.0,35772.0
Eutelsat 174A,Multinational,2005-12-29,5000.0,16.0,35799.0,35772.0
Eutelsat 21B,Multinational,2012-11-10,5102.0,15.0,35797.0,35777.0
Eutelsat 33E,Multinational,2009-02-11,4892.0,15.0,35806.0,35766.0
Eutelsat 36A,Multinational,2000-05-24,3190.0,12.0,35806.0,35766.0
Eutelsat 36B,Multinational,2009-11-24,5600.0,15.0,35787.0,35786.0
Eutelsat 3B,Multinational,2014-05-26,5967.0,15.0,35791.0,35782.0
Eutelsat 5 West A,Multinational,2002-07-05,4050.0,15.0,35805.0,35769.0
Eutelsat 5 West B,Multinational,2019-10-09,2864.0,15.0,35787.0,35783.0
Eutelsat 65 West A,Multinational,2016-03-09,6654.0,15.0,35796.0,35776.0
Eutelsat 7 West A,Multinational,2011-09-24,4600.0,15.0,35799.0,35774.0
Eutelsat 70B,Multinational,2012-12-03,5250.0,15.0,35800.0,35780.0
Eutelsat 7B,Multinational,2013-05-14,5404.0,15.0,35794.0,35784.0
Eutelsat 7C,Multinational,2019-06-20,3400.0,15.0,35702.0,35678.0
Eutelsat 8 West B,Multinational,2015-08-20,5800.0,15.0,35814.0,35773.0
Eutelsat 9B,Multinational,2016-01-29,5200.0,15.0,35792.0,35780.0
Eutelsat Hot Bird 13B,Multinational,2006-08-04,4900.0,15.0,35812.0,35759.0
Eutelsat Hot Bird 13C,Multinational,2008-12-20,4880.0,15.0,35787.0,35786.0
Eutelsat Hot Bird 13E,Multinational,2006-03-11,4100.0,15.0,35799.0,35775.0
Eutelsat Hotbird 13F,Multinational,2022-10-15,4500.0,15.0,35799.0,35788.0
Eutelsat Hotbird 13G,Multinational,2022-11-03,4500.0,15.0,353798.0,35789.0
Eutelsat KA-SAT 9A,Multinational,2010-12-26,6150.0,15.0,35856.0,35714.0
Eutelsat Konnect,Multinational,2020-01-16,3618.0,15.0,35700.0,35700.0
Eutelsat Konnect VHTS,Multinational,2022-09-07,6400.0,15.0,35805.0,35782.0
Eutelsat Quantum,Multinational,2021-07-30,3461.0,15.0,35772.0,35728.0
exactView 6,Canada,2011-08-17,12.0,,694.0,627.0
exactView 9,Canada,2015-09-28,6.0,,649.0,630.0
eXCITE,USA,2018-12-03,155.0,,588.0,569.0
ExoCube-2,USA,2021-01-17,4.0,,512.0,493.0
Express-103,Russia,2020-07-30,2150.0,15.0,35785.0,35781.0
Express-80,Russia,2020-07-30,2150.0,15.0,35785.0,35781.0
Express-AM3,Russia,2005-06-24,2600.0,12.0,35795.0,35777.0
Express-AM33,Russia,2008-01-28,2600.0,12.0,35791.0,35782.0
Express-AM44,Russia,2009-02-11,2532.0,12.0,35995.0,35987.0
Express-AM5,Russia,2013-12-26,3400.0,15.0,35940.0,35420.0
Express-AM6,Russia,2014-10-21,3358.0,15.0,37636.0,34094.0
Express-AM7,Russia,2015-03-18,5720.0,15.0,35796.0,35777.0
Express-AM8,Russia,2015-09-14,2100.0,15.0,35788.0,35784.0
Express-AMU1,Russia,2015-12-24,2700.0,15.0,35795.0,35792.0
Express-AMU3,Russia,2021-12-13,2150.0,15.0,52810.0,16324.0
Express-AMU7,Russia,2021-12-13,1980.0,15.0,52810.0,16334.0
Express-AT1,Russia,2014-03-15,1726.0,15.0,35804.0,35781.0
Express-AT2,Russia,2014-03-15,1427.0,15.0,35715.0,35609.0
ExSeedSat-1,India,2018-12-03,4.0,2.0,588.0,572.0
Eyesat,ESA,2019-12-18,5.0,,524.0,507.0
FACSAT-1,Colombia,2018-11-29,5.0,,500.0,476.0
