name,country,launch_date,launch_mass,expected_lifetime,apogee_height,perigee_height
Cosmos 2485,Russia,2013-04-26,1415.0,7.0,19173.0,19087.0
Cosmos 2514,Russia,2016-02-07,1415.0,7.0,19154.0,19106.0
Cosmos 2522,Russia,2017-09-22,1415.0,7.0,19156.0,19103.0
Cosmos 2516,Russia,2016-05-29,1415.0,7.0,19153.0,19094.0
Cosmos 2500,Russia,2014-06-14,1415.0,7.0,19146.0,19114.0
Cosmos 2527,Russia,2018-06-18,1415.0,7.0,19154.0,19121.0
Cosmos 2529,Russia,2018-11-03,1415.0,7.0,19163.0,19123.0
Cosmos 2534,Russia,2019-05-27,1415.0,7.0,19162.0,19097.0
Cosmos 2544,Russia,2019-12-11,1415.0,7.0,19149.0,19003.0
Cosmos 2545,Russia,2020-02-16,1415.0,7.0,19155.0,19131.0
GMS-T,Germany,2021-01-20,50.0,,1217.0,1210.0
GNOMES-1,USA,2020-08-30,30.0,,609.0,599.0
GNOMES-2,USA,2021-06-30,30.0,,536.0,522.0
GNOMES-3,USA,2022-04-01,30.0,,653.0,637.0
GOES-13,USA,2006-05-24,3200.0,7.0,35801.0,35768.0
GOES-14,USA,2009-06-27,3200.0,10.0,35170.0,35170.0
GOES-15,USA,2010-03-04,3175.0,10.0,35788.0,35786.0
GOES-R,USA,2016-11-19,5192.0,20.0,35795.0,35790.0
GOES-S,USA,2018-03-01,5211.0,15.0,35795.0,35778.0
GOES-T,USA,2022-03-01,5209.0,15.0,35804.0,35781.0
Göktürk 1,Turkey,2016-12-05,1060.0,7.0,683.0,683.0
Göktürk 2,Turkey,2012-12-18,409.0,5.0,690.0,669.0
GomX-4A,Denmark,2018-02-02,8.0,,506.0,483.0
GomX-4B,Denmark,2018-02-02,8.0,,508.0,486.0
